study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,IRR_reported_nr,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_notes,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,interpretation,matrix_source,special notes,notes,
Kook2024,TRUE,7,psychological_condition,clinical_psychopathology,self_report,FALSE,children,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,criterion_level,81.74,FALSE,TRUE,multi_coded,TRUE,FALSE,top_down,dsm,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,4,TRUE,0.76 (but only for Top-Down  approach),FALSE,TRUE,TRUE,TRUE,0.28,TRUE,0.14,TRUE,0.5,FALSE,not mentioned,NA,,"""Results of this study suggest that there is a weak mean overlap among common measures"", ""they may be measuring inherently different facets of anxiety"", ""examine before choosing a scale and do not use these measures interchangeably or interpret them interchangeably""",main_text,,Excluded parent-report and over-specific/adapted measures; expert-reviewed scale inclusion,
Vilar2022,TRUE,18,psychological_condition,clinical_psychopathology,self_report,FALSE,mixed,TRUE,pubmed; psycinfo,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,symptom_level; category_level,90.19; 98.68,TRUE,TRUE,multi_coded,FALSE,FALSE,top_down,dsm,TRUE,2,FALSE,FALSE,FALSE,FALSE,not_mentioned,TRUE,3,TRUE,"0.86 for symptom types, several cohens kappas between 0.9 and 0.4 for domains",FALSE,TRUE,TRUE,TRUE,0.3,TRUE,0.05,TRUE,0.59,TRUE,"mentioned, positive correlation (0.58) between mean jaccard coefficient and scale length",positive_numeric,0.58,"""Our results show substantial differences among questionnaires when exploring symptoms"",""inter-scale content overlap was low""",main_text,,"the reported 2 jaccard indices, one for individual symptom overlap and one for symptom domain overlap",
Chrobak2018,TRUE,7,psychological_condition,clinical_psychopathology,mixed,TRUE,adults,TRUE,pubmed,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,50,FALSE,TRUE,multi_coded,TRUE,TRUE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,not reported,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.35,TRUE,0.2,TRUE,0.65,TRUE,"mentioned, correlation 0.65. indicates that longer scales overlap more with others and feature more representative content""",positive_numeric,0.65,"""using (hypo)manic scales as interchangeable measurements is problematic and may pose a threat to the generalizability and replicability of bipolar disorder research."" ",main_text,,,
Visontay2019,TRUE,7,psychological_condition,clinical_psychopathology,self_report,TRUE,mixed,TRUE,medline; psycinfo,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,73.79,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,TRUE,not reported,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.39,TRUE,0.18,TRUE,0.6,TRUE,"mentioned, correlation between number of symptoms captured and mean overlap was -.09, so scale length did not determine the extend of scale overlap.",null_numeric,-0.09,"""Given the considerable heterogeneity demonstrated, it is clear that scales cannot be used  interchangeably, and comparisons of results obtained from different instruments must be made  with caution""",main_text,,"Separate Jaccard matrices for obsessions and compulsions. Very weak overlap for obsession (mean 0.14, weak for compulsion mean .39. Conservative collapsing to minimize heterogeneity.",
Hendriks2020,TRUE,3,transdiagnostic_feature,developmental,parent_report,TRUE,children,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,52.73,TRUE,FALSE,NA,FALSE,FALSE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,not reported,FALSE,not reported,FALSE,FALSE,FALSE,FALSE ,NA,TRUE,0,TRUE,0.5,FALSE,not mentioned,NA,,"""This indicated that based on their content, different AGG measures cannot be used interchangeably.""",main_text,,,
Castro2023,TRUE,6,psychological_condition,clinical_psychopathology,observer_report,FALSE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,60.68,TRUE,FALSE,NA,TRUE,FALSE,mixed,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,no_code,FALSE,2,TRUE,noted (the second reviewer only found n = 5 discrepancies... So( 81 items/76 correct)x100 = 93.8)...but they then resolved the discrepancies somehow),FALSE,TRUE,TRUE,FALSE ,NA,TRUE,0.169,TRUE,0.476,TRUE,"mentioned, but only in passing: the lowest score was also the test with the smallest number of items.",positive_text_only,,"""the results suggest that aphasia tests are inconsistent in what test targets they include, even though they assess similar domains and the same construct of aphasia.""",main_text,,,
Backhaus2022a + b,TRUE,25,transdiagnostic_feature,developmental,mixed,TRUE,mixed,TRUE,cinahl; embase; eric; psycinfo; pubmed; sociological_abstracts ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,category_level,90.95,FALSE,TRUE,multi_coded,FALSE,FALSE,mixed,who_definition,FALSE,NA,FALSE,FALSE,TRUE,TRUE,r,TRUE,not reported,FALSE,not reported,FALSE,FALSE,FALSE,TRUE,0.42,TRUE,0,TRUE,1,TRUE,"mentioned, but no correlation: Comparing a shorter harsh parenting instrument to a longer maltreatment instrument yields less shared behavior content.",positive_text_only,,"""ranged from 0 to 100% indicating that some instruments could be used interchangeably, whereas other instruments measured completely different behaviors""",supplement,"7 + 18 scales, with mean 0.35 and 0.42 respectively","Jaccard indices computed for physical, emotional, and combined behavior sets; item-level thematic coding...they also took quite some liberty to exclude testitems",
Ong2023,TRUE,9,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,mixed,TRUE,indeterminable,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,symptom_level,75.46,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,other,TRUE,3,FALSE,FALSE,TRUE,TRUE,r,FALSE,4,TRUE,0.788 cohens d,FALSE,TRUE,TRUE,TRUE,0.13,TRUE,0.06,TRUE,0.47,FALSE,not mentioned,NA,,"""our results showed very weak overlap across the nine measures"", ""illustrating the muddy definition of psychological flexibility in the literature"", ""it may be ill-advised to combine findings from different scales  (e.g., in a meta-analysis), as doing so would be like comparing apples to oranges—or more  precisely, calling an orange an apple""",main_text,,,not prereg
Martin2022,TRUE,4,transdiagnostic_feature,other,self_report,TRUE,adults,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,item_level,0,FALSE,TRUE,other,TRUE,FALSE,bottom_up,none,TRUE,7,TRUE,FALSE,FALSE,TRUE,r,FALSE,7,TRUE,reported a fleiss' kappa for IRR acrss the 7 raters for each combination of responses,FALSE,TRUE,TRUE,TRUE,0.247,TRUE,0.059,TRUE,0.469,FALSE,not mentioned,NA,,"""The weak level of overlap between measures is highly indicative  that the tools are not interchangeable, thus confirming a significant inherent source of  error if comparisons are made between studies based on different FoC measures""",main_text,,they did 7 different content analysis ,
Peipert2022,TRUE,10,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adults,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,semantic_level; symptom_level,36.62; 55.88,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,FALSE,not reported,FALSE,TRUE,TRUE,TRUE,0.138,TRUE,0,TRUE,0.476,FALSE,not mentioned,NA,,"""Both quantitative approaches yielded very weak average  levels of item overlap"", ""findings suggest that QOL measures vary in their item content to the extent that  most of the item content (56-66%) was specific to one particular measure. These findings are  consistent with literature that has pointed to the heterogeneity across definitions and models of  QOL [1]",main_text,"they used 2 approaches and made 2 seperate Jis...for second approach average was 0.07, min.0, max 0.4","very weak overlap, 56% of items idiosyncratic",
