study_id,matrix,n_scales,overarching_domain,fields,administration_mode,short_scales,population,scale_search,database,prisma_a,prisma,inclusion_criteria_applicable,inclusion_binary,clinical_relevance,language_mentioned,availability_mentioned,release_date_mentioned,frequency,min_scale_citation,exclusion_criteria,multiple_analyses,item_unit,percentage_reduction,within_scale_item_collapse,compound_items,compound_items_codes,idiosyncratic_items,reverse_worded_items,categorization_approach,diagnostic_framework,coding_team_reported,initial_coding_team_size,rater_expertise_mentioned,blinded,codebook,software_mentioned,software_used,item_exclusions,n_rater,IRR_reported,preregistered_rules,coding_scheme_independent_mentioned,disagreement_resolved_mentioned,mean_overlap,mean_overlap_nr,min_overlap,min_overlap_nr,max_overlap,max_overlap_nr,length_correlation_noted,correlation_lengthxmeanoverlap_type,correlation_lengthxmeanoverlap_value,heterogeneity_emphasized,overlap_reported,noninterchangeability_emphasized,recommend_careful_measure_selection,recommend_measure_development,ica_methods_problems,matrix_source
Kook2024,TRUE,7,psychological_condition,clinical_psychopathology,self_report,FALSE,children,TRUE,google_scholar,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,criterion_level,81.739999999999995,FALSE,TRUE,multi_coded,TRUE,FALSE,top_down,dsm,TRUE,2,FALSE,FALSE,TRUE,TRUE,r,FALSE,4,TRUE,FALSE,TRUE,TRUE,TRUE,0.28,TRUE,0.14,TRUE,0.5,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Vilar2022,TRUE,18,psychological_condition,clinical_psychopathology,self_report,FALSE,mixed,TRUE,pubmed; psycinfo,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,symptom_level; category_level,90.19; 98.68,TRUE,TRUE,multi_coded,FALSE,FALSE,top_down,dsm,TRUE,2,FALSE,FALSE,FALSE,FALSE,not_mentioned,TRUE,3,TRUE,FALSE,TRUE,TRUE,TRUE,0.3,TRUE,0.05,TRUE,0.59,TRUE,positive_numeric,0.58,TRUE,weak_overlap,FALSE,TRUE,TRUE,FALSE,main_text
Chrobak2018,TRUE,7,psychological_condition,clinical_psychopathology,mixed,TRUE,adults,TRUE,pubmed,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,symptom_level,50,FALSE,TRUE,multi_coded,TRUE,TRUE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.35,TRUE,0.2,TRUE,0.65,TRUE,positive_numeric,0.65,TRUE,weak_overlap,TRUE,TRUE,FALSE,TRUE,main_text
Visontay2019,TRUE,7,psychological_condition,clinical_psychopathology,self_report,TRUE,mixed,TRUE,medline; psycinfo,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,73.790000000000006,TRUE,TRUE,multi_coded,TRUE,FALSE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.39,TRUE,0.18,TRUE,0.6,TRUE,null_numeric,-0.09,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Hendriks2020,TRUE,3,transdiagnostic_feature,developmental,parent_report,TRUE,children,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,symptom_level,52.73,TRUE,FALSE,NA,FALSE,FALSE,bottom_up,dsm,FALSE,NA,FALSE,FALSE,FALSE,TRUE,r,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,0,TRUE,0.5,FALSE,NA,NA,FALSE,weak_overlap,TRUE,FALSE,FALSE,FALSE,main_text
Castro2023,TRUE,6,psychological_condition,clinical_psychopathology,observer_report,FALSE,adults,TRUE,indeterminable,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,symptom_level,60.68,TRUE,FALSE,NA,TRUE,FALSE,mixed,none,TRUE,1,FALSE,FALSE,FALSE,TRUE,no_code,FALSE,2,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,0.169,TRUE,0.476,TRUE,positive_text_only,NA,TRUE,weak_overlap,FALSE,FALSE,TRUE,FALSE,main_text
Backhaus2022,TRUE,25,transdiagnostic_feature,developmental,mixed,TRUE,mixed,TRUE,cinahl; embase; eric; psycinfo; pubmed; sociological_abstracts,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,category_level,90.95,FALSE,TRUE,multi_coded,FALSE,FALSE,mixed,who_definition,FALSE,NA,FALSE,FALSE,TRUE,TRUE,r,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,0.42,TRUE,0,TRUE,1,TRUE,positive_text_only,NA,TRUE,weak_overlap,FALSE,TRUE,TRUE,FALSE,supplement
Ong2023,TRUE,9,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,mixed,TRUE,indeterminable,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,symptom_level,75.459999999999994,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,other,TRUE,3,FALSE,FALSE,TRUE,TRUE,r,FALSE,4,TRUE,FALSE,TRUE,TRUE,TRUE,0.13,TRUE,0.06,TRUE,0.47,FALSE,NA,NA,TRUE,very_weak_overlap,TRUE,TRUE,TRUE,FALSE,main_text
Martin2022,TRUE,4,transdiagnostic_feature,other,self_report,TRUE,adults,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,item_level,0,FALSE,TRUE,other,TRUE,FALSE,bottom_up,none,TRUE,7,TRUE,FALSE,FALSE,TRUE,r,FALSE,7,TRUE,FALSE,TRUE,TRUE,TRUE,0.247,TRUE,0.059,TRUE,0.469,FALSE,NA,NA,TRUE,weak_overlap,TRUE,TRUE,TRUE,TRUE,main_text
Peipert2022,TRUE,10,transdiagnostic_feature,wellbeing_qol,self_report,TRUE,adults,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,semantic_level; symptom_level,36.62; 55.88,FALSE,FALSE,NA,TRUE,FALSE,bottom_up,none,TRUE,2,FALSE,FALSE,FALSE,TRUE,r,FALSE,2,FALSE,FALSE,TRUE,TRUE,TRUE,0.138,TRUE,0,TRUE,0.476,FALSE,NA,NA,TRUE,very_weak_overlap,TRUE,FALSE,TRUE,TRUE,main_text
