variable,n_true,n_false,n_na,n_coded,prop_true,percent_true,report
inclusion_binary,27,3,7,30,0.9,90.0%,27/30 (90.0%)
prisma_a,30,7,0,37,0.8108108108108109,81.1%,30/37 (81.1%)
max_overlap,30,7,0,37,0.8108108108108109,81.1%,30/37 (81.1%)
matrix,29,8,0,37,0.7837837837837838,78.4%,29/37 (78.4%)
inclusion_criteria_applicable,29,8,0,37,0.7837837837837838,78.4%,29/37 (78.4%)
software_mentioned,29,8,0,37,0.7837837837837838,78.4%,29/37 (78.4%)
coding_team_reported,28,9,0,37,0.7567567567567568,75.7%,28/37 (75.7%)
short_scales,26,10,1,36,0.7222222222222222,72.2%,26/36 (72.2%)
scale_search,26,11,0,37,0.7027027027027027,70.3%,26/37 (70.3%)
idiosyncratic_items,26,11,0,37,0.7027027027027027,70.3%,26/37 (70.3%)
mean_overlap,26,11,0,37,0.7027027027027027,70.3%,26/37 (70.3%)
min_overlap,26,11,0,37,0.7027027027027027,70.3%,26/37 (70.3%)
compound_items,24,13,0,37,0.6486486486486487,64.9%,24/37 (64.9%)
language_mentioned,20,12,5,32,0.625,62.5%,20/32 (62.5%)
exclusion_criteria,22,14,1,36,0.6111111111111112,61.1%,22/36 (61.1%)
prisma,14,16,7,30,0.4666666666666667,46.7%,14/30 (46.7%)
within_scale_item_collapse,16,21,0,37,0.43243243243243246,43.2%,16/37 (43.2%)
frequency,14,19,4,33,0.42424242424242425,42.4%,14/33 (42.4%)
codebook,15,22,0,37,0.40540540540540543,40.5%,15/37 (40.5%)
length_correlation_noted,15,22,0,37,0.40540540540540543,40.5%,15/37 (40.5%)
coding_scheme_independent_mentioned,14,23,0,37,0.3783783783783784,37.8%,14/37 (37.8%)
item_exclusions,13,24,0,37,0.35135135135135137,35.1%,13/37 (35.1%)
availability_mentioned,9,23,5,32,0.28125,28.1%,9/32 (28.1%)
irr_reported,10,27,0,37,0.2702702702702703,27.0%,10/37 (27.0%)
release_date_mentioned,8,23,6,31,0.25806451612903225,25.8%,8/31 (25.8%)
clinical_relevance,7,24,6,31,0.22580645161290322,22.6%,7/31 (22.6%)
reverse_worded_items,7,30,0,37,0.1891891891891892,18.9%,7/37 (18.9%)
min_scale_citation,3,28,6,31,0.0967741935483871,9.7%,3/31 (9.7%)
blinded,2,35,0,37,0.05405405405405406,5.4%,2/37 (5.4%)
preregistered_rules,1,36,0,37,0.02702702702702703,2.7%,1/37 (2.7%)
